leaf_interface_profile,leaf_profile,leaf_profile_descr,leaf_selector,Switch1_ID,Switch2_ID,policy_group,node_blk_name
Leaf-101_IntProf,Leaf-101_LeafProf,,Leaf-101_SwSel,101,101,AllLeaves_PolGrp,101
Leaf-102_IntProf,Leaf-102_LeafProf,,Leaf-102_SwSel,102,102,AllLeaves_PolGrp,102
Leaf-101-102_IntProf,Leaf-101-102_LeafProf,,Leaf-101-102_SwSel,101,102,AllLeaves_PolGrp,101-102
Leaf-111_IntProf,Leaf-111_LeafProf,,Leaf-111_SwSel,111,111,AllLeaves_PolGrp,111
Leaf-112_IntProf,Leaf-112_LeafProf,,Leaf-112_SwSel,112,112,AllLeaves_PolGrp,112
Leaf-111-112_IntProf,Leaf-111-112_LeafProf,,Leaf-111-112_SwSel,111,112,AllLeaves_PolGrp,111-112
Leaf-113_IntProf,Leaf-113_LeafProf,,Leaf-113_SwSel,113,113,AllLeaves_PolGrp,113
Leaf-114_IntProf,Leaf-114_LeafProf,,Leaf-114_SwSel,114,114,AllLeaves_PolGrp,114
Leaf-113-114_IntProf,Leaf-113-114_LeafProf,,Leaf-113-114_SwSel,113,114,AllLeaves_PolGrp,113-114
Leaf-115_IntProf,Leaf-115_LeafProf,,Leaf-115_SwSel,115,115,AllLeaves_PolGrp,115
Leaf-116_IntProf,Leaf-116_LeafProf,,Leaf-116_SwSel,116,116,AllLeaves_PolGrp,116
Leaf-115-116_IntProf,Leaf-115-116_LeafProf,,Leaf-115-116_SwSel,115,116,AllLeaves_PolGrp,115-116
Leaf-117_IntProf,Leaf-117_LeafProf,,Leaf-117_SwSel,117,117,AllLeaves_PolGrp,117
Leaf-118_IntProf,Leaf-118_LeafProf,,Leaf-118_SwSel,118,118,AllLeaves_PolGrp,118
Leaf-117-118_IntProf,Leaf-117-118_LeafProf,,Leaf-117-118_SwSel,117,118,AllLeaves_PolGrp,117-118
Leaf-119_IntProf,Leaf-119_LeafProf,,Leaf-119_SwSel,119,119,AllLeaves_PolGrp,119
Leaf-120_IntProf,Leaf-120_LeafProf,,Leaf-120_SwSel,120,120,AllLeaves_PolGrp,120
Leaf-119-120_IntProf,Leaf-119-120_LeafProf,,Leaf-119-120_SwSel,119,120,AllLeaves_PolGrp,119-120
Leaf-121_IntProf,Leaf-121_LeafProf,,Leaf-121_SwSel,121,121,AllLeaves_PolGrp,121
Leaf-122_IntProf,Leaf-122_LeafProf,,Leaf-122_SwSel,122,122,AllLeaves_PolGrp,122
Leaf-121-122_IntProf,Leaf-121-122_LeafProf,,Leaf-121-122_SwSel,121,122,AllLeaves_PolGrp,121-122
Leaf-123_IntProf,Leaf-123_LeafProf,,Leaf-123_SwSel,123,123,AllLeaves_PolGrp,123
Leaf-124_IntProf,Leaf-124_LeafProf,,Leaf-124_SwSel,124,124,AllLeaves_PolGrp,124
Leaf-123-124_IntProf,Leaf-123-124_LeafProf,,Leaf-123-124_SwSel,123,124,AllLeaves_PolGrp,123-124
Leaf-161_IntProf,Leaf-161_LeafProf,,Leaf-161_SwSel,161,161,AllLeaves_PolGrp,161
Leaf-162_IntProf,Leaf-162_LeafProf,,Leaf-162_SwSel,162,162,AllLeaves_PolGrp,162
Leaf-161-162_IntProf,Leaf-161-162_LeafProf,,Leaf-161-162_SwSel,161,162,AllLeaves_PolGrp,161-162
